gran,n_b,m_b,work,aspect,cost_A_outer_s,cost_B_outer_s,flip,orientation_speedup
medium,1039,517,537163,2.009671179883946,5978.56,6330.24,False,1.0588235294117645
medium,1036,518,536648,2.0,5978.56,6330.24,False,1.0588235294117645
medium,1035,490,507150,2.1122448979591835,5626.88,5978.56,False,1.0625
medium,1034,504,521136,2.0515873015873014,5978.56,5978.56,False,1.0
medium,1033,500,516500,2.066,5978.56,5978.56,False,1.0
medium,1033,511,527863,2.0215264187866926,5978.56,6330.24,False,1.0588235294117645
medium,1033,499,515467,2.070140280561122,5978.56,5978.56,False,1.0
medium,1032,503,519096,2.05168986083499,5978.56,5978.56,False,1.0
medium,1032,481,496392,2.1455301455301456,5626.88,5978.56,False,1.0625
medium,1029,506,520674,2.033596837944664,5978.56,5978.56,False,1.0
medium,1029,514,528906,2.001945525291829,5978.56,6330.24,False,1.0588235294117645
medium,1029,495,509355,2.0787878787878786,5626.88,5978.56,False,1.0625
medium,1028,502,516056,2.047808764940239,5978.56,5978.56,False,1.0
medium,1028,507,521196,2.027613412228797,5978.56,5978.56,False,1.0
medium,1024,506,518144,2.0237154150197627,5626.88,5626.88,False,1.0
medium,1021,502,512542,2.0338645418326693,5626.88,5626.88,False,1.0
medium,1019,504,513576,2.0218253968253967,5626.88,5626.88,False,1.0
medium,1018,505,514090,2.015841584158416,5626.88,5626.88,False,1.0
medium,1016,488,495808,2.081967213114754,5626.88,5626.88,False,1.0
medium,1013,502,508526,2.0179282868525896,5626.88,5626.88,False,1.0
medium,1012,485,490820,2.08659793814433,5626.88,5626.88,False,1.0
medium,1010,499,503990,2.024048096192385,5626.88,5626.88,False,1.0
medium,1010,479,483790,2.1085594989561587,5275.2,5275.2,False,1.0
medium,1010,504,509040,2.003968253968254,5626.88,5626.88,False,1.0
medium,1009,494,498446,2.04251012145749,5626.88,5626.88,False,1.0
medium,1004,500,502000,2.008,5626.88,5626.88,False,1.0
medium,1003,484,485452,2.072314049586777,5626.88,5626.88,False,1.0
medium,1002,489,489978,2.049079754601227,5626.88,5626.88,False,1.0
medium,997,493,491521,2.022312373225152,5626.88,5626.88,False,1.0
medium,996,491,489036,2.0285132382892055,5626.88,5626.88,False,1.0
medium,994,478,475132,2.079497907949791,5275.2,5275.2,False,1.0
medium,992,475,471200,2.088421052631579,5275.2,5275.2,False,1.0
medium,987,460,454020,2.1456521739130436,5275.2,5275.2,False,1.0
medium,986,475,468350,2.0757894736842104,5275.2,5275.2,False,1.0
medium,984,474,466416,2.0759493670886076,5275.2,5275.2,False,1.0
medium,983,484,475772,2.03099173553719,5275.2,5626.88,False,1.0666666666666667
medium,982,465,456630,2.1118279569892473,5275.2,5275.2,False,1.0
medium,980,480,470400,2.0416666666666665,5275.2,5275.2,False,1.0
medium,980,476,466480,2.0588235294117645,5275.2,5275.2,False,1.0
medium,980,478,468440,2.0502092050209204,5275.2,5275.2,False,1.0
medium,978,487,476286,2.008213552361396,5275.2,5626.88,False,1.0666666666666667
medium,977,482,470914,2.0269709543568464,5275.2,5626.88,False,1.0666666666666667
medium,977,457,446489,2.137855579868709,4923.52,5275.2,False,1.0714285714285714
medium,974,486,473364,2.0041152263374484,5275.2,5626.88,False,1.0666666666666667
medium,974,452,440248,2.1548672566371683,4923.52,5275.2,False,1.0714285714285714
medium,974,483,470442,2.0165631469979295,5275.2,5626.88,False,1.0666666666666667
medium,974,481,468494,2.0249480249480247,5275.2,5626.88,False,1.0666666666666667
medium,973,475,462175,2.048421052631579,5275.2,5275.2,False,1.0
medium,972,474,460728,2.050632911392405,5275.2,5275.2,False,1.0
medium,970,457,443290,2.12253829321663,4923.52,5275.2,False,1.0714285714285714
medium,970,466,452020,2.0815450643776825,4923.52,5275.2,False,1.0714285714285714
medium,970,473,458810,2.050739957716702,5275.2,5275.2,False,1.0
medium,970,484,469480,2.0041322314049586,5275.2,5626.88,False,1.0666666666666667
medium,968,484,468512,2.0,5275.2,5626.88,False,1.0666666666666667
medium,967,477,461259,2.0272536687631026,5275.2,5275.2,False,1.0
medium,967,483,467061,2.002070393374741,5275.2,5626.88,False,1.0666666666666667
medium,960,471,452160,2.038216560509554,5275.2,4923.52,True,1.0714285714285714
medium,960,471,452160,2.038216560509554,5275.2,4923.52,True,1.0714285714285714
medium,959,460,441140,2.0847826086956522,4923.52,4923.52,False,1.0
medium,958,443,424394,2.1625282167042887,4923.52,4923.52,False,1.0
medium,958,464,444512,2.064655172413793,4923.52,4923.52,False,1.0
medium,957,472,451704,2.027542372881356,5275.2,4923.52,True,1.0714285714285714
medium,957,465,445005,2.0580645161290323,4923.52,4923.52,False,1.0
medium,957,467,446919,2.0492505353319057,4923.52,4923.52,False,1.0
medium,957,471,450747,2.031847133757962,5275.2,4923.52,True,1.0714285714285714
medium,954,467,445518,2.0428265524625266,4923.52,4923.52,False,1.0
medium,952,448,426496,2.125,4923.52,4923.52,False,1.0
medium,952,454,432208,2.0969162995594712,4923.52,4923.52,False,1.0
medium,952,474,451248,2.0084388185654007,4923.52,4923.52,False,1.0
medium,951,464,441264,2.0495689655172415,4923.52,4923.52,False,1.0
medium,951,468,445068,2.032051282051282,4923.52,4923.52,False,1.0
medium,948,466,441768,2.0343347639484977,4923.52,4923.52,False,1.0
medium,948,471,446508,2.0127388535031847,4923.52,4923.52,False,1.0
medium,945,450,425250,2.1,4923.52,4923.52,False,1.0
medium,943,463,436609,2.036717062634989,4923.52,4923.52,False,1.0
medium,942,471,443682,2.0,4923.52,4923.52,False,1.0
medium,942,456,429552,2.0657894736842106,4923.52,4923.52,False,1.0
medium,942,470,442740,2.0042553191489363,4923.52,4923.52,False,1.0
medium,941,438,412158,2.1484018264840183,4571.84,4571.84,False,1.0
medium,940,449,422060,2.093541202672606,4923.52,4923.52,False,1.0
medium,938,465,436170,2.0172043010752687,4923.52,4923.52,False,1.0
medium,936,465,435240,2.0129032258064514,4923.52,4923.52,False,1.0
medium,935,443,414205,2.110609480812641,4571.84,4923.52,False,1.076923076923077
medium,934,455,424970,2.0527472527472526,4571.84,4923.52,False,1.076923076923077
medium,933,463,431979,2.0151187904967602,4923.52,4923.52,False,1.0
medium,932,464,432448,2.0086206896551726,4923.52,4923.52,False,1.0
medium,932,460,428720,2.026086956521739,4923.52,4923.52,False,1.0
medium,927,434,402318,2.1359447004608296,4571.84,4571.84,False,1.0
medium,924,449,414876,2.0579064587973273,4571.84,4923.52,False,1.076923076923077
medium,923,454,419042,2.0330396475770924,4571.84,4923.52,False,1.076923076923077
medium,923,461,425503,2.002169197396963,4923.52,4923.52,False,1.0
medium,922,459,423198,2.008714596949891,4923.52,4923.52,False,1.0
medium,921,434,399714,2.122119815668203,4571.84,4571.84,False,1.0
medium,920,453,416760,2.0309050772626933,4571.84,4923.52,False,1.076923076923077
medium,919,425,390575,2.1623529411764704,4571.84,4571.84,False,1.0
medium,917,447,409899,2.0514541387024607,4571.84,4923.52,False,1.076923076923077
medium,916,450,412200,2.0355555555555553,4571.84,4923.52,False,1.076923076923077
medium,916,450,412200,2.0355555555555553,4571.84,4923.52,False,1.076923076923077
medium,912,452,412224,2.017699115044248,4571.84,4923.52,False,1.076923076923077
medium,911,438,399018,2.0799086757990866,4571.84,4571.84,False,1.0
medium,907,440,399080,2.0613636363636365,4571.84,4571.84,False,1.0
medium,906,451,408606,2.008869179600887,4571.84,4571.84,False,1.0
medium,905,434,392770,2.085253456221198,4571.84,4571.84,False,1.0
medium,904,443,400472,2.040632054176072,4571.84,4571.84,False,1.0
medium,904,435,393240,2.0781609195402297,4571.84,4571.84,False,1.0
medium,901,448,403648,2.0111607142857144,4571.84,4571.84,False,1.0
medium,900,444,399600,2.027027027027027,4571.84,4571.84,False,1.0
medium,898,432,387936,2.0787037037037037,4571.84,4220.16,True,1.0833333333333335
medium,897,440,394680,2.0386363636363636,4571.84,4571.84,False,1.0
medium,895,423,378585,2.115839243498818,4220.16,4220.16,False,1.0
medium,893,425,379525,2.101176470588235,4220.16,4220.16,False,1.0
medium,893,436,389348,2.0481651376146788,4571.84,4571.84,False,1.0
medium,890,431,383590,2.0649651972157774,4220.16,4220.16,False,1.0
medium,890,436,388040,2.041284403669725,4571.84,4571.84,False,1.0
medium,889,444,394716,2.0022522522522523,4571.84,4571.84,False,1.0
medium,889,441,392049,2.015873015873016,4571.84,4571.84,False,1.0
